Collection Title,Snippet,Similarity Score
"Selections from the Philadelphia Museum of Art's Archives of American Art collection, 1866-1968","'Page 57': 'Repository: Archives of American Art'}, ",0.6640712
"Sylvia Loomis papers, 1938-1941","'Page 57': 'Interviewer: Loomis, Sylvia Interview date: 08/27/64 Transcript: 27 pages Repository: Archives of American Art Permission of interviewee needed.'}, ",0.6540663
"Selections from the Philadelphia Museum of Art's Archives of American Art collection, 1866-1968","'Page 58': 'Repository: Archives of American Art'}, ",0.65756136
"Selections from the Philadelphia Museum of Art's Archives of American Art collection, 1866-1968","'Page 59': 'Repository: Archives of American Art'}, ",0.65990925
"Selections from the Philadelphia Museum of Art's Archives of American Art collection, 1866-1968","'Page 61': 'Repository: Archives of American Art'}, ",0.66619897
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 62': 'Repository: Archives of American Art'}, ",0.67973745
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 62': 'Repository: Archives of American Art'}, ",0.67973745
"Selections from the Philadelphia Museum of Art's Archives of American Art collection, 1866-1968","'Page 63': 'Repository: Archives of American Art'}, ",0.6751712
"Selections from the Philadelphia Museum of Art's Archives of American Art collection, 1866-1968","'Page 65': 'Repository: Archives of American Art'}, ",0.6600045
"Selections from the Philadelphia Museum of Art's Archives of American Art collection, 1866-1968","'Page 65': 'Repository: Archives of American Art'}, ",0.6600045
"Selections from the Philadelphia Museum of Art's Archives of American Art collection, 1866-1968","'Page 66': 'Repository: Archives of American Art'}, ",0.6525799
"Selections from the Philadelphia Museum of Art's Archives of American Art collection, 1866-1968","'Page 66': 'Repository: Archives of American Art'}, ",0.6525799
"Selections from the Philadelphia Museum of Art's Archives of American Art collection, 1866-1968","'Page 66': 'Repository: Archives of American Art'}, ",0.6525799
"Selections from the Philadelphia Museum of Art's Archives of American Art collection, 1866-1968","'Page 68': 'Repository: Archives of American Art'}, ",0.6663482
"Advancing American Art: exhibition records, 1946-1977","'Page 70': 'Repository: Archives of American Art'}, ",0.67985463
"Advancing American Art: exhibition records, 1946-1977","'Page 71': 'Repository: Archives of American Art'}, ",0.6759084
"Advancing American Art: exhibition records, 1946-1977","'Page 72': 'Repository: Archives of American Art'}, ",0.67703295
"Advancing American Art: exhibition records, 1946-1977","'Page 73': 'Repository: Archives of American Art'}, ",0.67228395
"Advancing American Art: exhibition records, 1946-1977","'Page 73': 'Repository: Archives of American Art'}, ",0.67228395
"Advancing American Art: exhibition records, 1946-1977","'Page 74': 'Repository: Archives of American Art'}, ",0.66261464
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 75': 'Repository: Archives of American Art'}, ",0.6608849
"Selections from the Philadelphia Museum of Art's Archives of American Art collection, 1866-1968","'Page 77': 'Repository: Archives of American Art'}, ",0.654261
"Selections from the Philadelphia Museum of Art's Archives of American Art collection, 1866-1968","'Page 77': 'Repository: Archives of American Art'}, ",0.654261
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 81': 'Repository: Archives of American Art'}, ",0.66463596
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 81': 'Repository: Archives of American Art'}, ",0.66463596
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 81': 'Repository: Archives of American Art'}, ",0.66463596
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 82': 'Repository: Archives of American Art'}, ",0.66976297
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 82': 'Repository: Archives of American Art'}, ",0.66976297
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 82': 'Repository: Archives of American Art'}, ",0.66976297
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 83': 'Repository: Archives of American Art'}, ",0.6630234
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 84': 'Repository: Archives of American Art'}, ",0.66912526
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 85': 'Repository: Archives of American Art'}, ",0.669299
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 86': 'Repository: Archives of American Art'}, ",0.6708516
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 86': 'Repository: Archives of American Art'}, ",0.6708516
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 87': 'Repository: Archives of American Art'}, ",0.67653453
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 87': 'Repository: Archives of American Art'}, ",0.67653453
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 89': 'Repository: Archives of American Art'}, ",0.6513675
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 89': 'Repository: Archives of American Art'}, ",0.6513675
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 90': 'Repository: Archives of American Art'}, ",0.65080595
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 90': 'Repository: Archives of American Art'}, ",0.65080595
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 91': 'Repository: Archives of American Art'}, ",0.66738147
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 92': 'Repository: Archives of American Art'}, ",0.65397865
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 92': 'Repository: Archives of American Art'}, ",0.65397865
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 92': 'Repository: Archives of American Art'}, ",0.65397865
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 93': 'Repository: Archives of American Art'}, ",0.6576715
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 93': 'Repository: Archives of American Art'}, ",0.6576715
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 94': 'Repository: Archives of American Art'}, ",0.6751197
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 96': 'Repository: Archives of American Art'}, ",0.66360945
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 101': 'Repository: Archives of American Art'}, ",0.6544367
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 104': 'Repository: Archives of American Art'}, ",0.65155935
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 104': 'Repository: Archives of American Art'}, ",0.65155935
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 104': 'Repository: Archives of American Art'}, ",0.65155935
"Advancing American Art: exhibition records, 1946-1977","'Page 106': 'Repository: Archives of American Art'}, ",0.66954464
"Advancing American Art: exhibition records, 1946-1977","'Page 106': 'Repository: Archives of American Art'}, ",0.66954464
"Advancing American Art: exhibition records, 1946-1977","'Page 106': 'Repository: Archives of American Art'}, ",0.66954464
"Advancing American Art: exhibition records, 1946-1977","'Page 107': 'Repository: Archives of American Art'}, ",0.65699875
"Advancing American Art: exhibition records, 1946-1977","'Page 107': 'Repository: Archives of American Art'}, ",0.65699875
"Advancing American Art: exhibition records, 1946-1977","'Page 107': 'Repository: Archives of American Art'}, ",0.65699875
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 109': 'Repository: Archives of American Art'}, ",0.6602761
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 109': 'Repository: Archives of American Art'}, ",0.6602761
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 110': 'Repository: Archives of American Art'}, ",0.659971
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 110': 'Repository: Archives of American Art'}, ",0.659971
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 110': 'Repository: Archives of American Art'}, ",0.659971
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 111': 'Repository: Archives of American Art'}, ",0.66037184
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 111': 'Repository: Archives of American Art'}, ",0.66037184
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 113': 'Repository: Archives of American Art'}, ",0.6586689
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 113': 'Repository: Archives of American Art'}, ",0.6586689
"American Art Research Council records, 1935-1956, bulk 1942-1947","'Page 114': 'Repository: Archives of American Art'}, ",0.6806894
"American Art Research Council records, 1935-1956, bulk 1942-1947","'Page 114': 'Repository: Archives of American Art'}, ",0.6806894
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 115': 'Repository: Archives of American Art'}, ",0.6697965
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 115': 'Repository: Archives of American Art'}, ",0.6697965
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 115': 'Repository: Archives of American Art'}, ",0.6697965
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 116': 'Repository: Archives of American Art'}, ",0.6837731
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 116': 'Repository: Archives of American Art'}, ",0.6837731
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 117': 'Repository: Archives of American Art'}, ",0.6745278
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 117': 'Repository: Archives of American Art'}, ",0.6745278
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 117': 'Repository: Archives of American Art'}, ",0.6745278
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 118': 'Repository: Archives of American Art'}, ",0.6697788
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 118': 'Repository: Archives of American Art'}, ",0.6697788
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 119': 'Repository: Archives of American Art'}, ",0.67333686
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 119': 'Repository: Archives of American Art'}, ",0.67333686
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 124': 'Repository: Archives of American Art'}, ",0.665703
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 126': 'Repository: Archives of American Art'}, ",0.6586999
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 126': 'Repository: Archives of American Art'}, ",0.6586999
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 130': 'Repository: Archives of American Art'}, ",0.6532922
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 130': 'Repository: Archives of American Art'}, ",0.6532922
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 131': 'Repository: Archives of American Art'}, ",0.6578301
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 131': 'Repository: Archives of American Art'}, ",0.6578301
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 132': 'Repository: Archives of American Art'}, ",0.67096007
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 132': 'Repository: Archives of American Art'}, ",0.67096007
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 132': 'Repository: Archives of American Art'}, ",0.67096007
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 134': 'Repository: Archives of American Art'}, ",0.6534994
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 137': 'Repository: Archives of American Art'}, ",0.65585095
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 137': 'Repository: Archives of American Art'}, ",0.65585095
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 137': 'Repository: Archives of American Art'}, ",0.65585095
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 137': 'Repository: Archives of American Art'}, ",0.65585095
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 139': 'Repository: Archives of American Art'}, ",0.6659029
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 139': 'Repository: Archives of American Art'}, ",0.6659029
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 139': 'Repository: Archives of American Art'}, ",0.6659029
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 139': 'Repository: Archives of American Art'}, ",0.6659029
"Sylvia Loomis papers, 1938-1941","'Page 140': 'Interviewer: Loomis, Sylvia Interview date: 11/13/64 Transcript: 11 pages Repository: Archives of American Art Permission of interviewee needed.'}, ",0.66321427
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 142': 'Repository: Archives of American Art'}, ",0.6568825
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 142': 'Repository: Archives of American Art'}, ",0.6568825
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 142': 'Repository: Archives of American Art'}, ",0.6568825
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 144': 'Repository: Archives of American Art'}, ",0.6537327
"Sylvia Loomis papers, 1938-1941","'Page 144': 'Interviewer: Loomis, Sylvia Interview date: 12/03/64 Transcript: 13 pages Repository: Archives of American Art Permission of interviewee needed.'}, ",0.6634982
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 144': 'Repository: Archives of American Art'}, ",0.6537327
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 145': 'Repository: Archives of American Art'}, ",0.6623395
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 145': 'Repository: Archives of American Art'}, ",0.6623395
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 145': 'Repository: Archives of American Art'}, ",0.6623395
"Sylvia Loomis papers, 1938-1941","'Page 146': 'Interviewer: Loomis, Sylvia Interview date: 05/14/64 Transcript: 10 pages Repository: Archives of American Art Permission of interviewee needed.'}, ",0.6507851
"Things you should know about Living American Art : a handbook of facts for editors and critics, 1937","'Page n2': 'A GUIDE TO SOURCES IN THE ARCHIVES OF AMERICAN ART'}, ",0.6932404
"Advancing American Art: exhibition records, 1946-1977","'Page n4': 'THE ARCHIVES OF AMERICAN ART, founded in 1954, has assembled the world�s largest collection of records documenting the history of the visual arts in the United States. More than 12 million items of original source material are available for study to scholars, students, writers, and other researchers. These include the records of American painters, sculptors, craftsmen, collectors, and dealers, as well as those of critics, historians, curators, museums, societies, and other institutions concerned with art in America.'}, ",0.69536483
"Panel discussion: ""Glimpses of some early departments of the history of art in the U.S.A."", 1987 Feb. 13","'Page n8': 'The most important collection of documents relating to this period is held by the Archives of American Art, which has also microfilmed a considerable number of similar collections that are owned by other repositories or by private individuals. As this decisive era is studied and placed in historical context by scholars, and not exclusively by art historians, the documents preserved by the artists themselves are brought forward to bear witness to the struggles, achievements, and controversies, political as well as artistic, of their generation.'}, ",0.6567434
"Selections from the Philadelphia Museum of Art's Archives of American Art collection, 1866-1968","'Page n10': 'The Archives of American Art was founded in 1954 to encourage research and publication on the visual arts in America by collecting and preserving basic manuscript materials pertinent to the study of art history, by making its documentary resources known, and by providing scholars easy access to them. In 1970 it became a bureau of the Smithsonian Institution in Washington, D.C., and now has reference centers there and in Boston, Detroit, New York City, San Francisco, and San Marino.'}, ",0.664027
"Photographs of work by Federal Art Project artists in New Mexico, 1935-1943","'Page 2': 'Transcript of an interview of Adams conducted by Sylvia Loomis for the Archives of American Art, 1964 (21 pp.). Adams describes his involvement with federal art projects in New Mexico, 1933-1935, including easel and mural painting for the Treasury Relief Art Project and the Public Works of Art Project. Adams mentions his portrait of Juan Duran, the Deming post office project, and murals painted in Goodland, Kans. Adams explains how the Federal Art Project helped advance his career, and he talks about the art market and the community�s acceptance of artists. There is also a brief discussion of political favoritism as a result of governmental administration of the arts. Gustave Baumann, George Biddle, Raymond Jonson, and Willard Nash are mentioned.'}, ",0.7493122
"Arthur Painter papers of the Federal Art Project, 1938-1941","'Page 4': 'Transcript of an interview of Alston conducted by Al Murray for the Archives of American Art, 1968 (25 pp.). Alston discusses the involvement of artists in the Federal Art Project during the Depression. He says that the 1930s were a time of social realism and that the FAP dealt directly with the problems of artists and encouraged the survival of culture in the United States. Microfilm roll 4223.'}, ",0.65503466
"Records of the Public Works of Art Project in Texas, 1933-1941","'Page 7': 'Transcript of an interview of Ayres conducted by Sylvia Loomis for the Archives of American Art, 1965 (25 pp.). Ayres discusses his association with the WPA in San Antonio, 1934-1935, including his selection of local artists for Public Works of Art Project exhibits, WPA painting and architectural projects, and the growth of the arts in Texas.'}, ",0.6711332
"Scrapbook on Santa Fe artists' colony, 1870-1921","'Page 8': 'Transcript of an interview of Bakos conducted by Sylvia Loomis for the Archives of American Art, 1965 (26 pp.). Bakos speaks of moving to Santa Fe and its art community in the 1920s. He describes going to work on the easel painting project of the Federal Art Project, his feelings about the FAP, his post-FAP career, and commissions he received. Microfilm roll 3418, frames 436-463.'}, ",0.65929455
"Panel discussion: ""Glimpses of some early departments of the history of art in the U.S.A."", 1987 Feb. 13","'Page 8': 'Transcript of an interview of Baranceanu and Hilda Preibisius conducted by Betty Hoag for the Archives of American Art, 1964 (35 pp.). Baranceanu and Preibisius discuss their involvement in the Federal Art Project. Each describes'}, ",0.70476204
"George Biddle murals graphic, 1936","'Page 12': 'Transcript of an interview of Biddle conducted by Harlan Phillips for the Archives of American Art, 1963 (261 pp.). Biddle speaks of his background in Phiiadelphia, his Harvard education in preparation for a law career, literary acquaintances, travel, the beginning of his art career, his preoccupation with portraiture, his tragic and pleasant works, the importance of mood, his drawing techniques, drawing from nature, color experimentation, the Stieglitz circle, the susceptibility of artists to change during the 1930s, his involvement with the Public Works of Art Project, government censorship of his murals, his involvement with artists overseas during World War II, and his aesthetic philosophy. He recalls Peggy Bacon, Thomas Hart Benton, Henry Billings, Ned Bruce, Holger Cahill, Charles Demuth, Philip Evergood, George Grosz, Edith Halpert, Marsden Hartley, Reginald Marsh, Kenneth Hayes Miller, Jos� Clemente Orozco, Diego Rivera, Boardman Robinson, David Alfaro Siqueiros, Maurice Sterne, Rufino Tamayo, Max Weber, and William Zorach.'}, ",0.6771297
"California Federal Art Project papers, 1935-1964","'Page 13': 'Transcript of an interview of Bischoff conducted by Mary Fuller McChesney for the Archives of American Art, 1965 (12 pp.). Bischoff speaks of his first involvement with the Federal Art Project as a ceramics teacher at an art center in Sacramento, Calif., and the accomplishments of the art center. He discusses the art community in Sacramento in the 1930s, the FAP�s effect on the community and on American art generally, public perception of the project, his opinions of government support for the arts, and the influences on the development of art in California. Microfilm roll 3418, frames 614-627.'}, ",0.7036375
"Gerald Monroe research material on the American Artists' Congress, the Artists' Union, and the WPA, ca. 1930-1971","'Page 22': 'Transcript of an interview of Burlin conducted by Dorothy Seckler for the Archives of American Art, 1962 (41 pp.). Burlin reflects on the development of the WPA and its original relationship with the Whitney Museum of American Art. He discusses the influence of the American Artists Congress on the originally liberal policies regulating federal art projects and how these policies changed with the later, unpopular development of abstract art.'}, ",0.67316556
"Cecilia Beaux papers, 1863-1968","'Page 203': '12 Ibid., 7 and Grace Leavitt Peck to Cecilia Beaux. March 1914. Cecilia Beaux Papers, Archives of American Art.'}, ",0.7520427
"Cecilia Beaux papers, 1863-1968","'Page 204': '39 Beaux, Jean Adolphe. Beaux to his employees. Cecilia Beaux Papers. Archives of American Art.'}, ",0.7662129
"Cecilia Beaux papers, 1863-1968","'Page 204': '52 Cecilia Beaux to Jean Adolphe Beaux, December 9, 1863. Cecilia Beaux Papers. Archives of American Art.'}, ",0.87921
"Cecilia Beaux papers, 1863-1968","'Page 204': '55 Emily Leavitt to Jean Adolphe Beaux, December 9, 1863. Cecilia Beaux Papers. Archives of American Art.'}, ",0.7294903
"Cecilia Beaux papers, 1863-1968","'Page 205': '87 Beaux, Cecilia. Untitled, undated manuscript. Cecilia Beaux Papers. Archives of American Art.'}, ",0.83104104
"Cecilia Beaux papers, 1863-1968","'Page 205': '89 Beaux, untitled, undated manuscript. Cecilia Beaux Papers. Archives of American Art.'}, ",0.7962111
"Cecilia Beaux papers, 1863-1968","'Page 206': '130 Beaux diary, November 27, 1875. Cecilia Beaux Papers. Archives of American Art.'}, ",0.8274633
"Cecilia Beaux papers, 1863-1968","'Page 207': '152 Beaux diary, December 11, 1875. Cecilia Beaux Papers. Archives of American Art. �L. [Lila] Redfield a lesson at 9 o�ck [sic] this A.M.� �She began a pretty fine shading piece. Is enlarging it. Read her extracts from �In a Studio� from Littell.� Within two months there was fur� ther improvement. �Lila is doing her picture beautifully and I am very careful and particular.�'}, ",0.6838184
"Cecilia Beaux papers, 1863-1968","'Page 207': '162 Janvier, Thomas. ��The Brighton Cats� Lithograph by Miss E. C. Beaux.� The Press, December 1, 1874. Cecilia Beaux Papers. Archives of American Art.'}, ",0.6843472
"Cecilia Beaux papers, 1863-1968","'Page 207': '168 Beaux diary, October 10, 1875. Cecilia Beaux Papers. Archives of American Art.'}, ",0.8241667
"Cecilia Beaux papers, 1863-1968","'Page 207': '175 Beaux diary, November 7, 1875. Cecilia Beaux Papers. Archives of American Art.'}, ",0.8212884
"Cecilia Beaux papers, 1863-1968","'Page 207': '178 Beaux diary, November 26, 1875. Cecilia Beaux Papers Archives of American Art.'}, ",0.8040957
"Cecilia Beaux papers, 1863-1968","'Page 207': '180 Beaux diary, November 16. Cecilia Beaux Papers. Archives of American Art.'}, ",0.79675895
"Cecilia Beaux papers, 1863-1968","'Page 208': '189 Beaux diary, November 20, 1875. Cecilia Beaux Papers. Archives of American Art.'}, ",0.82398564
"Cecilia Beaux papers, 1863-1968","'Page 209': '229 �A Judge at Paris,� Philadelphia Star, October 24, 1899. Cecilia Beaux Papers. Archives of American Art.'}, ",0.6929837
"Cecilia Beaux papers, 1863-1968","'Page 209': '240 Cook, Clarence. �The Studio.� Cecilia Beaux Papers, Archives of American Art.'}, ",0.7002968
"Cecilia Beaux papers, 1863-1968","'Page 209': '243 Parrish, Anne. February 24, 1931. Cecilia Beaux Papers, Archives of American Art.'}, ",0.76260257
"Selected art related documents from the Library Company of Philadelphia, 1785-1883","'Page 209': '244 Philadelphia Evening Telegraph, February 24, 1886. Cecilia Beaux Papers. Archives of American Art.'}, ",0.72451884
"Cecilia Beaux papers, 1863-1968","'Page 209': '245 Cook, Clarence. �The Studio,� May 15, 1886. Cecilia Beaux Papers. Archives of American Art.'}, ",0.70660883
"Cecilia Beaux papers, 1863-1968","'Page 209': '247 The American, June 19, 1886. Cecilia Beaux Papers. Archives of American Art.'}, ",0.72921973
"Cecilia Beaux papers, 1863-1968","'Page 209': '10:30 am, 1888. Cecilia Beaux Papers. Archives of American Art.'}, ",0.77357584
"Cecilia Beaux papers, 1863-1968","'Page 209': '255 Fetter from Eliza Feavitt to Cecilia Beaux, Friday, 7:30pm, 1888. Cecilia Beaux Papers. Archives of American Art.'}, ",0.7054993
"Cecilia Beaux papers, 1863-1968","'Page 209': '256 Cecilia Beaux to Henry Thouron, January, 1888. Cecilia Beaux Papers. Archives of American Art.'}, ",0.7909299
"Cecilia Beaux papers, 1863-1968","'Page 210': '257 Henry Thouron to Cecilia Beaux, January 13, 1888. Cecilia Beaux Papers. Archives of American Art.'}, ",0.76762456
